Games,Country,Gold,Silver,Bronze,Total,Percentage,Total athletes,Athletes without medals
2012 Summer,Afghanistan,0,0,1,1,16.7%,6,5
2012 Summer,Senegal,0,0,0,0,0.0%,32,32
2012 Summer,Lebanon,0,0,0,0,0.0%,10,10
2012 Summer,South Korea,18,13,30,61,19.6%,312,251
2012 Summer,Antigua,0,0,0,0,0.0%,4,4
2012 Summer,Republic of Congo,0,0,0,0,0.0%,7,7
2012 Summer,Boliva,0,0,0,0,0.0%,5,5
2012 Summer,Monaco,0,0,0,0,0.0%,6,6
2012 Summer,Syria,0,0,0,0,0.0%,10,10
2012 Summer,Montenegro,0,14,0,14,41.2%,34,20
2012 Summer,Guinea,0,0,0,0,0.0%,4,4
2012 Summer,Slovakia,0,1,4,5,7.7%,65,60
2012 Summer,Guyana,0,0,0,0,0.0%,6,6
2012 Summer,Turkmenistan,0,0,0,0,0.0%,10,10
2012 Summer,Saint Lucia,0,0,0,0,0.0%,4,4
2012 Summer,Albania,0,0,0,0,0.0%,10,10
2012 Summer,Honduras,0,0,0,0,0.0%,25,25
2012 Summer,Samoa,0,0,0,0,0.0%,9,9
2012 Summer,Andorra,0,0,0,0,0.0%,6,6
2012 Summer,Grenada,1,0,0,1,12.5%,8,7
2012 Summer,Burundi,0,0,0,0,0.0%,6,6
2012 Summer,Macedonia,0,0,0,0,0.0%,4,4
2012 Summer,Georgia,1,3,3,7,19.4%,36,29
2012 Summer,Individual Olympic Athletes,0,0,0,0,0.0%,4,4
2012 Summer,Malta,0,0,0,0,0.0%,5,5
2012 Summer,Central African Republic,0,0,0,0,0.0%,6,6
2012 Summer,Nicaragua,0,0,0,0,0.0%,6,6
2012 Summer,Cook Islands,0,0,0,0,0.0%,9,9
2012 Summer,Bermuda,0,0,0,0,0.0%,8,8
2012 Summer,Bangladesh,0,0,0,0,0.0%,7,7
2012 Summer,Luxembourg,0,0,0,0,0.0%,11,11
2012 Summer,Mozambique,0,0,0,0,0.0%,6,6
2012 Summer,Mali,0,0,0,0,0.0%,6,6
2012 Summer,Panama,0,0,0,0,0.0%,8,8
2012 Summer,Cambodia,0,0,0,0,0.0%,6,6
2012 Summer,Taiwan,0,1,1,2,3.6%,55,53
2012 Summer,Singapore,0,0,4,4,11.1%,36,32
2012 Summer,Bhutan,0,0,0,0,0.0%,2,2
2012 Summer,Zambia,0,0,0,0,0.0%,7,7
2012 Summer,Vietnam,0,0,0,0,0.0%,24,24
2012 Summer,Gambia,0,0,0,0,0.0%,2,2
2012 Summer,Sri Lanka,0,0,0,0,0.0%,8,8
2012 Summer,Zimbabwe,0,0,0,0,0.0%,9,9
2012 Summer,Sao Tome and Principe,0,0,0,0,0.0%,2,2
2012 Summer,Guinea-Bissau,0,0,0,0,0.0%,4,4
2012 Summer,Micronesia,0,0,0,0,0.0%,6,6
2012 Summer,Kiribati,0,0,0,0,0.0%,3,3
2012 Summer,Haiti,0,0,0,0,0.0%,5,5
2012 Summer,Nauru,0,0,0,0,0.0%,2,2
2012 Summer,Nepal,0,0,0,0,0.0%,5,5
2012 Summer,Libya,0,0,0,0,0.0%,4,4
2012 Summer,Mauritania,0,0,0,0,0.0%,2,2
2012 Summer,Equatorial Guinea,0,0,0,0,0.0%,2,2
2012 Summer,American Samoa,0,0,0,0,0.0%,4,4
2012 Summer,Somalia,0,0,0,0,0.0%,2,2
2012 Summer,Bosnia and Herzegovina,0,0,0,0,0.0%,8,8
2012 Summer,Tonga,0,0,0,0,0.0%,3,3
2012 Summer,Cayman Islands,0,0,0,0,0.0%,7,7
2012 Summer,Dominica,0,0,0,0,0.0%,2,2
2012 Summer,Marshall Islands,0,0,0,0,0.0%,4,4
2012 Summer,Tanzania,0,0,0,0,0.0%,6,6
2012 Summer,San Marino,0,0,0,0,0.0%,4,4
2012 Summer,"Virgin Islands, US",0,0,0,0,0.0%,9,9
2012 Summer,Swaziland,0,0,0,0,0.0%,3,3
2012 Summer,Liechtenstein,0,0,0,0,0.0%,4,4
2012 Summer,Aruba,0,0,0,0,0.0%,4,4
2012 Summer,Laos,0,0,0,0,0.0%,3,3
2012 Summer,Papua New Guinea,0,0,0,0,0.0%,8,8
2012 Summer,Democratic Republic of the Congo,0,0,0,0,0.0%,4,4
2012 Summer,Burkina Faso,0,0,0,0,0.0%,5,5
2012 Summer,Solomon Islands,0,0,0,0,0.0%,4,4
2012 Summer,NA,0,0,0,0,0.0%,3,3
2012 Summer,Lesotho,0,0,0,0,0.0%,4,4
2012 Summer,Brunei,0,0,0,0,0.0%,3,3
2012 Summer,Cape Verde,0,0,0,0,0.0%,3,3
2012 Summer,Belize,0,0,0,0,0.0%,3,3
2012 Summer,Timor-Leste,0,0,0,0,0.0%,2,2
2012 Summer,Chad,0,0,0,0,0.0%,2,2
2012 Summer,Suriname,0,0,0,0,0.0%,5,5
2012 Summer,Sierra Leone,0,0,0,0,0.0%,2,2
2012 Summer,Malawi,0,0,0,0,0.0%,3,3
2010 Winter,Pakistan,0,0,0,0,0.0%,1,1
2010 Winter,USA,12,63,22,97,28.4%,341,244
2010 Winter,Ukraine,0,0,0,0,0.0%,95,95
2010 Winter,Georgia,0,0,0,0,0.0%,9,9
2010 Winter,Belarus,1,1,1,3,3.2%,95,92
2010 Winter,Russia,6,5,14,25,9.0%,279,254
2010 Winter,Lebanon,0,0,0,0,0.0%,6,6
2010 Winter,Canada,67,15,8,90,29.2%,308,218
2010 Winter,Germany,15,24,15,54,20.8%,259,205
2010 Winter,Finland,0,1,46,47,32.2%,146,99
2010 Winter,UK,1,0,0,1,1.3%,78,77
2010 Winter,Denmark,0,0,0,0,0.0%,23,23
2010 Winter,Bulgaria,0,0,0,0,0.0%,41,41
2010 Winter,Sweden,11,3,4,18,10.5%,172,154
2010 Winter,Australia,2,1,0,3,6.1%,49,46
2010 Winter,Switzerland,6,0,6,12,6.3%,190,178
2010 Winter,France,2,6,6,14,7.1%,196,182
2010 Winter,South Korea,6,10,2,18,21.4%,84,66
2010 Winter,Norway,16,14,9,39,20.5%,190,151
2010 Winter,Japan,0,5,2,7,4.6%,153,146
2010 Winter,Romania,0,0,0,0,0.0%,49,49
2010 Winter,Italy,1,1,3,5,2.4%,208,203
2010 Winter,Latvia,0,3,0,3,3.7%,81,78
2010 Winter,Azerbaijan,0,0,0,0,0.0%,4,4
2010 Winter,Kazakhstan,0,1,0,1,1.0%,100,99
2010 Winter,Turkey,0,0,0,0,0.0%,9,9
2010 Winter,Morocco,0,0,0,0,0.0%,2,2
2010 Winter,Slovakia,1,1,1,3,2.8%,107,104
2010 Winter,Czech Republic,2,0,7,9,5.2%,172,163
2010 Winter,Moldova,0,0,0,0,0.0%,11,11
2010 Winter,Chile,0,0,0,0,0.0%,10,10
2010 Winter,Ireland,0,0,0,0,0.0%,7,7
2010 Winter,Slovenia,0,2,1,3,2.8%,107,104
2010 Winter,Austria,11,9,6,26,19.7%,132,106
2010 Winter,Hungary,0,0,0,0,0.0%,32,32
2010 Winter,Poland,1,3,4,8,7.5%,106,98
2010 Winter,Iceland,0,0,0,0,0.0%,7,7
2010 Winter,Netherlands,4,1,6,11,16.9%,65,54
2010 Winter,New Zealand,0,0,0,0,0.0%,22,22
2010 Winter,Croatia,0,2,1,3,8.1%,37,34
2010 Winter,Liechtenstein,0,0,0,0,0.0%,5,5
2010 Winter,China,9,3,7,19,15.0%,127,108
2010 Winter,Peru,0,0,0,0,0.0%,5,5
2010 Winter,San Marino,0,0,0,0,0.0%,1,1
2010 Winter,Spain,0,0,0,0,0.0%,35,35
2010 Winter,Brazil,0,0,0,0,0.0%,7,7
2010 Winter,Monaco,0,0,0,0,0.0%,6,6
2010 Winter,Macedonia,0,0,0,0,0.0%,4,4
2010 Winter,Greece,0,0,0,0,0.0%,12,12
2010 Winter,Colombia,0,0,0,0,0.0%,2,2
2010 Winter,Tajikistan,0,0,0,0,0.0%,4,4
2010 Winter,Estonia,0,1,0,1,1.6%,64,63
2010 Winter,Mongolia,0,0,0,0,0.0%,2,2
2010 Winter,Serbia,0,0,0,0,0.0%,15,15
2010 Winter,Argentina,0,0,0,0,0.0%,20,20
2010 Winter,Uzbekistan,0,0,0,0,0.0%,5,5
2010 Winter,Andorra,0,0,0,0,0.0%,20,20
2010 Winter,Belgium,0,0,0,0,0.0%,10,10
2010 Winter,Hong Kong,0,0,0,0,0.0%,3,3
2010 Winter,Iran,0,0,0,0,0.0%,7,7
2010 Winter,Bosnia and Herzegovina,0,0,0,0,0.0%,10,10
2010 Winter,Jamaica,0,0,0,0,0.0%,1,1
2010 Winter,India,0,0,0,0,0.0%,3,3
2010 Winter,Armenia,0,0,0,0,0.0%,6,6
2010 Winter,Algeria,0,0,0,0,0.0%,1,1
2010 Winter,North Korea,0,0,0,0,0.0%,3,3
2010 Winter,Montenegro,0,0,0,0,0.0%,2,2
2010 Winter,South Africa,0,0,0,0,0.0%,2,2
2010 Winter,Taiwan,0,0,0,0,0.0%,1,1
2010 Winter,Bermuda,0,0,0,0,0.0%,1,1
2010 Winter,Ghana,0,0,0,0,0.0%,1,1
2010 Winter,Lithuania,0,0,0,0,0.0%,13,13
2010 Winter,Cyprus,0,0,0,0,0.0%,4,4
2010 Winter,Israel,0,0,0,0,0.0%,4,4
2010 Winter,Kyrgyzstan,0,0,0,0,0.0%,3,3
2010 Winter,Senegal,0,0,0,0,0.0%,2,2
2010 Winter,Nepal,0,0,0,0,0.0%,1,1
2010 Winter,Portugal,0,0,0,0,0.0%,1,1
2010 Winter,Ethiopia,0,0,0,0,0.0%,1,1
2010 Winter,Albania,0,0,0,0,0.0%,2,2
2010 Winter,Cayman Islands,0,0,0,0,0.0%,1,1
2010 Winter,Mexico,0,0,0,0,0.0%,2,2
2008 Summer,Norway,16,5,1,22,21.6%,102,80
2008 Summer,Estonia,1,2,0,3,5.7%,53,50
2008 Summer,Spain,7,47,16,70,19.7%,355,285
2008 Summer,Russia,43,46,53,142,23.7%,600,458
2008 Summer,Belarus,8,5,16,29,12.2%,237,208
2008 Summer,France,25,24,28,77,17.2%,448,371
2008 Summer,Italy,8,14,20,42,9.2%,459,417
2008 Summer,Pakistan,0,0,0,0,0.0%,22,22
2008 Summer,Azerbaijan,1,2,4,7,15.9%,44,37
2008 Summer,Australia,31,42,76,149,26.1%,570,421
2008 Summer,South Africa,0,1,0,1,0.6%,179,178
2008 Summer,Canada,11,13,11,35,7.8%,449,414
2008 Summer,USA,127,110,80,317,41.5%,763,446
2008 Summer,Morocco,0,1,1,2,4.1%,49,47
2008 Summer,Egypt,0,0,1,1,0.9%,116,115
2008 Summer,Eritrea,0,0,0,0,0.0%,11,11
2008 Summer,Sudan,0,1,0,1,11.1%,9,8
2008 Summer,Algeria,0,1,1,2,3.5%,57,55
2008 Summer,Palestine,0,0,0,0,0.0%,4,4
2008 Summer,Iraq,0,0,0,0,0.0%,4,4
2008 Summer,Qatar,0,0,0,0,0.0%,20,20
2008 Summer,Kyrgyzstan,0,1,1,2,9.1%,22,20
2008 Summer,Tajikistan,0,1,1,2,12.5%,16,14
2008 Summer,Japan,23,15,13,51,11.2%,457,406
2008 Summer,Germany,42,16,41,99,17.7%,558,459
2008 Summer,Turkey,1,3,3,7,9.9%,71,64
2008 Summer,Ivory Coast,0,0,0,0,0.0%,22,22
2008 Summer,Kazakhstan,2,4,7,13,8.9%,146,133
2008 Summer,Sweden,0,5,2,7,4.1%,169,162
2008 Summer,Portugal,1,1,0,2,2.3%,87,85
2008 Summer,Angola,0,0,0,0,0.0%,33,33
2008 Summer,Iran,1,0,1,2,3.6%,55,53
2008 Summer,Bangladesh,0,0,0,0,0.0%,5,5
2008 Summer,Nigeria,0,16,7,23,25.8%,89,66
2008 Summer,Romania,5,1,16,22,12.8%,172,150
2008 Summer,Venezuela,0,0,1,1,0.8%,126,125
2008 Summer,India,1,0,2,3,4.5%,67,64
2008 Summer,UK,31,25,25,81,19.3%,420,339
2008 Summer,Tunisia,1,0,0,1,3.4%,29,28
2008 Summer,Argentina,20,0,31,51,35.2%,145,94
2008 Summer,Mexico,2,0,2,4,3.9%,103,99
2008 Summer,Cuba,2,34,11,47,27.5%,171,124
2008 Summer,Mauritius,0,0,1,1,9.1%,11,10
2008 Summer,Poland,6,13,1,20,6.3%,316,296
2008 Summer,New Zealand,4,2,9,15,7.5%,201,186
2008 Summer,Liberia,0,0,0,0,0.0%,4,4
2008 Summer,Ethiopia,4,1,2,7,24.1%,29,22
2008 Summer,Nepal,0,0,0,0,0.0%,8,8
2008 Summer,Armenia,0,0,6,6,23.1%,26,20
2008 Summer,Netherlands,39,18,4,61,21.6%,283,222
2008 Summer,Brazil,14,34,30,78,23.1%,338,260
2008 Summer,Ukraine,10,5,16,31,9.5%,327,296
2008 Summer,American Samoa,0,0,0,0,0.0%,4,4
2008 Summer,Belgium,1,4,0,5,4.5%,112,107
2008 Summer,Greece,0,3,4,7,4.0%,176,169
2008 Summer,Austria,0,1,2,3,3.2%,93,90
2008 Summer,Seychelles,0,0,0,0,0.0%,10,10
2008 Summer,Dominican Republic,1,1,0,2,7.4%,27,25
2008 Summer,Nicaragua,0,0,0,0,0.0%,7,7
2008 Summer,Paraguay,0,0,0,0,0.0%,7,7
2008 Summer,Comoros,0,0,0,0,0.0%,3,3
2008 Summer,Namibia,0,0,0,0,0.0%,11,11
2008 Summer,Bermuda,0,0,0,0,0.0%,6,6
2008 Summer,Samoa,0,0,0,0,0.0%,7,7
2008 Summer,Cyprus,0,0,0,0,0.0%,18,18
2008 Summer,Kenya,6,4,5,15,31.9%,47,32
2008 Summer,Saudi Arabia,0,0,0,0,0.0%,18,18
2008 Summer,Kuwait,0,0,0,0,0.0%,8,8
2008 Summer,Bahrain,0,0,0,0,0.0%,15,15
2008 Summer,Syria,0,0,0,0,0.0%,7,7
2008 Summer,Oman,0,0,0,0,0.0%,4,4
2008 Summer,Yemen,0,0,0,0,0.0%,8,8
2008 Summer,Jordan,0,0,0,0,0.0%,7,7
2008 Summer,United Arab Emirates,0,0,0,0,0.0%,9,9
2008 Summer,Finland,1,2,2,5,7.1%,70,65
2008 Summer,Jamaica,5,3,6,14,21.2%,66,52
2008 Summer,Lithuania,0,2,3,5,6.4%,78,73
2008 Summer,Bulgaria,1,1,3,5,5.7%,87,82
2008 Summer,Saint Vincent,0,0,0,0,0.0%,2,2
2008 Summer,Niger,0,0,0,0,0.0%,4,4
2008 Summer,Libya,0,0,0,0,0.0%,6,6
2008 Summer,Cameroon,1,0,0,1,3.1%,32,31
2008 Summer,Djibouti,0,0,0,0,0.0%,2,2
2008 Summer,Bosnia and Herzegovina,0,0,0,0,0.0%,7,7
2008 Summer,Guam,0,0,0,0,0.0%,7,7
2008 Summer,Croatia,0,2,3,5,4.0%,125,120
2008 Summer,Barbados,0,0,0,0,0.0%,10,10
2008 Summer,Chile,0,1,0,1,3.4%,29,28
2008 Summer,Honduras,0,0,0,0,0.0%,26,26
2008 Summer,Colombia,0,1,1,2,2.2%,90,88
2008 Summer,Uzbekistan,1,2,3,6,8.7%,69,63
2008 Summer,Bahamas,0,6,1,7,21.2%,33,26
2008 Summer,Malaysia,0,1,0,1,2.4%,42,41
2008 Summer,Ghana,0,0,0,0,0.0%,9,9
2008 Summer,South Korea,41,11,26,78,23.7%,329,251
2008 Summer,North Korea,2,1,3,6,9.1%,66,60
2008 Summer,Denmark,6,7,6,19,17.6%,108,89
2008 Summer,Madagascar,0,0,0,0,0.0%,6,6
2008 Summer,Philippines,0,0,0,0,0.0%,17,17
2008 Summer,Czech Republic,3,4,0,7,4.4%,158,151
2008 Summer,China,74,53,57,184,25.2%,730,546
2008 Summer,Turkmenistan,0,0,0,0,0.0%,10,10
2008 Summer,Latvia,1,1,1,3,5.7%,53,50
2008 Summer,Ireland,0,1,2,3,4.8%,63,60
2008 Summer,Thailand,2,2,0,4,7.5%,53,49
2008 Summer,Guatemala,0,0,0,0,0.0%,13,13
2008 Summer,El Salvador,0,0,0,0,0.0%,14,14
2008 Summer,Trinidad,5,1,0,6,17.1%,35,29
2008 Summer,Hungary,16,8,3,27,12.5%,216,189
2008 Summer,Iceland,0,14,0,14,45.2%,31,17
2008 Summer,Puerto Rico,0,0,0,0,0.0%,31,31
2008 Summer,Switzerland,3,1,7,11,9.5%,116,105
2008 Summer,Malta,0,0,0,0,0.0%,6,6
2008 Summer,Hong Kong,0,0,0,0,0.0%,47,47
2008 Summer,Haiti,0,0,0,0,0.0%,7,7
2008 Summer,Israel,0,0,1,1,1.7%,60,59
2008 Summer,Afghanistan,0,0,1,1,25.0%,4,3
2008 Summer,Senegal,0,0,0,0,0.0%,17,17
2008 Summer,Mongolia,2,2,0,4,12.9%,31,27
2008 Summer,Mali,0,0,0,0,0.0%,17,17
2008 Summer,Gabon,0,0,0,0,0.0%,4,4
2008 Summer,Ecuador,0,1,0,1,3.8%,26,25
2008 Summer,Antigua,0,0,0,0,0.0%,5,5
2008 Summer,Republic of Congo,0,0,0,0,0.0%,5,5
2008 Summer,Botswana,0,0,0,0,0.0%,11,11
2008 Summer,Zimbabwe,1,3,0,4,25.0%,16,12
2008 Summer,Peru,0,0,0,0,0.0%,13,13
2008 Summer,"Virgin Islands, US",0,0,0,0,0.0%,8,8
2008 Summer,Guinea,0,0,0,0,0.0%,5,5
2008 Summer,Slovakia,4,5,1,10,14.9%,67,57
2008 Summer,Grenada,0,0,0,0,0.0%,9,9
2008 Summer,Uganda,0,0,0,0,0.0%,11,11
2008 Summer,Tanzania,0,0,0,0,0.0%,9,9
2008 Summer,Saint Lucia,0,0,0,0,0.0%,4,4
2008 Summer,Georgia,3,0,3,6,15.8%,38,32
2008 Summer,Albania,0,0,0,0,0.0%,12,12
2008 Summer,Andorra,0,0,0,0,0.0%,5,5
2008 Summer,Serbia,0,1,14,15,15.5%,97,82
2008 Summer,Sierra Leone,0,0,0,0,0.0%,3,3
2008 Summer,Luxembourg,0,0,0,0,0.0%,19,19
2008 Summer,Panama,1,0,0,1,20.0%,5,4
2008 Summer,Papua New Guinea,0,0,0,0,0.0%,9,9
2008 Summer,Sao Tome and Principe,0,0,0,0,0.0%,4,4
2008 Summer,Central African Republic,0,0,0,0,0.0%,3,3
2008 Summer,Togo,0,0,1,1,25.0%,4,3
2008 Summer,Slovenia,1,2,2,5,6.8%,73,68
2008 Summer,Moldova,0,0,1,1,3.3%,30,29
2008 Summer,Costa Rica,0,0,0,0,0.0%,8,8
2008 Summer,Montenegro,0,0,0,0,0.0%,20,20
2008 Summer,Uruguay,0,0,0,0,0.0%,13,13
2008 Summer,San Marino,0,0,0,0,0.0%,4,4
2008 Summer,Fiji,0,0,0,0,0.0%,6,6
2008 Summer,Guyana,0,0,0,0,0.0%,4,4
2008 Summer,Zambia,0,0,0,0,0.0%,8,8
2008 Summer,Singapore,0,3,0,3,8.3%,36,33
2008 Summer,Boliva,0,0,0,0,0.0%,7,7
2008 Summer,Mozambique,0,0,0,0,0.0%,4,4
2008 Summer,Mauritania,0,0,0,0,0.0%,2,2
2008 Summer,Taiwan,0,0,4,4,4.3%,92,88
2008 Summer,Malawi,0,0,0,0,0.0%,4,4
2008 Summer,Indonesia,2,2,3,7,26.9%,26,19
2008 Summer,Laos,0,0,0,0,0.0%,4,4
2008 Summer,Saint Kitts,0,0,0,0,0.0%,6,6
2008 Summer,Marshall Islands,0,0,0,0,0.0%,5,5
2008 Summer,Cape Verde,0,0,0,0,0.0%,2,2
2008 Summer,Guinea-Bissau,0,0,0,0,0.0%,3,3
2008 Summer,Micronesia,0,0,0,0,0.0%,5,5
2008 Summer,Benin,0,0,0,0,0.0%,5,5
2008 Summer,Curacao,0,0,0,0,0.0%,4,4
2008 Summer,Bhutan,0,0,0,0,0.0%,2,2
2008 Summer,Nauru,0,0,0,0,0.0%,1,1
2008 Summer,Monaco,0,0,0,0,0.0%,5,5
2008 Summer,Rwanda,0,0,0,0,0.0%,4,4
2008 Summer,Swaziland,0,0,0,0,0.0%,4,4
2008 Summer,Vietnam,0,1,0,1,5.6%,18,17
2008 Summer,Palau,0,0,0,0,0.0%,5,5
2008 Summer,NA,0,0,0,0,0.0%,3,3
2008 Summer,Belize,0,0,0,0,0.0%,4,4
2008 Summer,Cayman Islands,0,0,0,0,0.0%,6,6
2008 Summer,Liechtenstein,0,0,0,0,0.0%,2,2
2008 Summer,Lebanon,0,0,0,0,0.0%,6,6
2008 Summer,Solomon Islands,0,0,0,0,0.0%,3,3
2008 Summer,"Virgin Islands, British",0,0,0,0,0.0%,2,2
2008 Summer,Cook Islands,0,0,0,0,0.0%,4,4
2008 Summer,Cambodia,0,0,0,0,0.0%,4,4
2008 Summer,Dominica,0,0,0,0,0.0%,2,2
2008 Summer,Maldives,0,0,0,0,0.0%,4,4
2008 Summer,Somalia,0,0,0,0,0.0%,2,2
2008 Summer,Gambia,0,0,0,0,0.0%,3,3
2008 Summer,Sri Lanka,0,0,0,0,0.0%,9,9
2008 Summer,Vanuatu,0,0,0,0,0.0%,3,3
2008 Summer,Kiribati,0,0,0,0,0.0%,2,2
2008 Summer,Democratic Republic of the Congo,0,0,0,0,0.0%,5,5
2008 Summer,Lesotho,0,0,0,0,0.0%,5,5
2008 Summer,Myanmar,0,0,0,0,0.0%,7,7
2008 Summer,Tonga,0,0,0,0,0.0%,3,3
2008 Summer,Equatorial Guinea,0,0,0,0,0.0%,3,3
2008 Summer,Chad,0,0,0,0,0.0%,2,2
2008 Summer,Macedonia,0,0,0,0,0.0%,7,7
2008 Summer,Suriname,0,0,0,0,0.0%,4,4
2008 Summer,Burkina Faso,0,0,0,0,0.0%,6,6
2008 Summer,Burundi,0,0,0,0,0.0%,3,3
2008 Summer,Aruba,0,0,0,0,0.0%,2,2
2008 Summer,Timor-Leste,0,0,0,0,0.0%,1,1
2006 Winter,Norway,2,9,12,23,14.3%,161,138
2006 Winter,Ukraine,0,0,3,3,2.8%,109,106
2006 Winter,Georgia,0,0,0,0,0.0%,4,4
2006 Winter,Russia,16,12,13,41,14.5%,283,242
2006 Winter,Croatia,1,2,0,3,6.5%,46,43
2006 Winter,Germany,23,25,6,54,20.5%,263,209
2006 Winter,Canada,30,28,11,69,22.6%,305,236
2006 Winter,Switzerland,5,7,9,21,11.6%,181,160
2006 Winter,Uzbekistan,0,0,0,0,0.0%,4,4
2006 Winter,USA,9,11,32,52,16.0%,325,273
2006 Winter,Argentina,0,0,0,0,0.0%,17,17
2006 Winter,Finland,0,34,7,41,29.3%,140,99
2006 Winter,India,0,0,0,0,0.0%,5,5
2006 Winter,UK,0,1,0,1,1.9%,54,53
2006 Winter,Kazakhstan,0,0,0,0,0.0%,97,97
2006 Winter,Sweden,35,21,8,64,38.1%,168,104
2006 Winter,Australia,1,0,1,2,4.4%,45,43
2006 Winter,Italy,11,0,14,25,8.6%,290,265
2006 Winter,France,3,2,10,15,9.4%,159,144
2006 Winter,South Korea,14,3,2,19,22.4%,85,66
2006 Winter,China,2,5,6,13,8.9%,146,133
2006 Winter,Belarus,0,1,0,1,1.4%,70,69
2006 Winter,Japan,1,0,0,1,0.5%,190,189
2006 Winter,Latvia,0,0,1,1,1.1%,92,91
2006 Winter,Chile,0,0,0,0,0.0%,15,15
2006 Winter,Lebanon,0,0,0,0,0.0%,7,7
2006 Winter,Romania,0,0,0,0,0.0%,53,53
2006 Winter,Andorra,0,0,0,0,0.0%,10,10
2006 Winter,Brazil,0,0,0,0,0.0%,12,12
2006 Winter,Spain,0,0,0,0,0.0%,28,28
2006 Winter,Turkey,0,0,0,0,0.0%,17,17
2006 Winter,Armenia,0,0,0,0,0.0%,9,9
2006 Winter,Slovakia,0,1,0,1,0.9%,114,113
2006 Winter,Czech Republic,1,2,24,27,15.9%,170,143
2006 Winter,Slovenia,0,0,0,0,0.0%,96,96
2006 Winter,Bulgaria,0,1,0,1,2.3%,44,43
2006 Winter,New Zealand,0,0,0,0,0.0%,18,18
2006 Winter,Algeria,0,0,0,0,0.0%,3,3
2006 Winter,Austria,16,7,7,30,22.7%,132,102
2006 Winter,Iceland,0,0,0,0,0.0%,12,12
2006 Winter,Poland,0,1,1,2,2.2%,91,89
2006 Winter,Kenya,0,0,0,0,0.0%,1,1
2006 Winter,Kyrgyzstan,0,0,0,0,0.0%,2,2
2006 Winter,Estonia,3,0,0,3,4.8%,63,60
2006 Winter,Netherlands,3,2,8,13,20.6%,63,50
2006 Winter,South Africa,0,0,0,0,0.0%,9,9
2006 Winter,Monaco,0,0,0,0,0.0%,10,10
2006 Winter,Moldova,0,0,0,0,0.0%,10,10
2006 Winter,Liechtenstein,0,0,0,0,0.0%,12,12
2006 Winter,San Marino,0,0,0,0,0.0%,1,1
2006 Winter,Israel,0,0,0,0,0.0%,6,6
2006 Winter,Ireland,0,0,0,0,0.0%,5,5
2006 Winter,Bosnia and Herzegovina,0,0,0,0,0.0%,9,9
2006 Winter,Macedonia,0,0,0,0,0.0%,5,5
2006 Winter,Hungary,0,0,0,0,0.0%,32,32
2006 Winter,Belgium,0,0,0,0,0.0%,8,8
2006 Winter,Greece,0,0,0,0,0.0%,8,8
2006 Winter,Lithuania,0,0,0,0,0.0%,14,14
2006 Winter,Tajikistan,0,0,0,0,0.0%,3,3
